pair_a,pair_b,scope,metric,value,envelope,zero_case,within
single_baseline_06,dual_baseline_12,10,max_abs,0.005905547644942999,0.00594778242520988,neither_zero,True
single_baseline_06,dual_baseline_12,10,normalized_max_abs,1.9685684212062222,1.9826470570430124,neither_zero,True
single_baseline_06,dual_baseline_12,10,cosine_error,0.005570853993990488,0.006571025593287261,neither_zero,True
single_baseline_06,dual_baseline_12,10,log_norm_ratio,0.00010321819943399264,0.0001985496010601438,neither_zero,True
single_baseline_06,dual_baseline_12,12,relative_l2,0.08799394019241635,0.1281904108794343,neither_zero,True
single_baseline_06,dual_baseline_12,12,max_abs,0.005804087733849883,0.005939641036093235,neither_zero,True
single_baseline_06,dual_baseline_12,12,normalized_max_abs,1.9348106175205513,1.9799972695114094,neither_zero,True
single_baseline_06,dual_baseline_12,12,cosine_error,0.003871648872216471,0.008216884210253905,neither_zero,True
single_baseline_06,dual_baseline_12,12,log_norm_ratio,4.7328988561451e-05,0.0003993144073782176,neither_zero,True
single_baseline_06,dual_baseline_12,13,relative_l2,0.08175656727012275,0.08811547143108552,neither_zero,True
single_baseline_06,dual_baseline_12,13,max_abs,0.005835214164108038,0.005892634857445955,neither_zero,True
single_baseline_06,dual_baseline_12,13,normalized_max_abs,1.9451399082056136,1.9642808135823902,neither_zero,True
single_baseline_06,dual_baseline_12,13,cosine_error,0.0033424687156151656,0.003882467918829735,neither_zero,True
single_baseline_06,dual_baseline_12,13,log_norm_ratio,0.00012207903716093322,0.00017695298734545184,neither_zero,True
single_baseline_06,dual_baseline_12,14,relative_l2,0.0782984605086111,0.09979719351372945,neither_zero,True
single_baseline_06,dual_baseline_12,14,max_abs,0.005847996333613992,0.005890344735234976,neither_zero,True
single_baseline_06,dual_baseline_12,14,normalized_max_abs,1.9494416329858217,1.9635584075632604,neither_zero,True
single_baseline_06,dual_baseline_12,14,cosine_error,0.003065403915444853,0.004980025156854584,neither_zero,True
single_baseline_06,dual_baseline_12,14,log_norm_ratio,2.6031245160038692e-05,0.0002657099935791046,neither_zero,True
single_baseline_06,dual_baseline_12,16,relative_l2,0.07326035903419556,0.08436554172823829,neither_zero,True
single_baseline_06,dual_baseline_12,16,max_abs,0.005749846575781703,0.005808895919471979,neither_zero,True
single_baseline_06,dual_baseline_12,16,normalized_max_abs,1.9167438875340257,1.9364281700460415,neither_zero,True
single_baseline_06,dual_baseline_12,16,cosine_error,0.00268386098809148,0.003559225492313911,neither_zero,True
single_baseline_06,dual_baseline_12,16,log_norm_ratio,0.0001223573111311558,0.0002576750825546444,neither_zero,True
single_baseline_06,dual_baseline_12,17,relative_l2,0.05029392916734945,0.07984475971614276,neither_zero,True
single_baseline_06,dual_baseline_12,17,max_abs,0.005684497533366084,0.005828710272908211,neither_zero,True
single_baseline_06,dual_baseline_12,17,normalized_max_abs,1.894963091471338,1.9430371665975241,neither_zero,True
single_baseline_06,dual_baseline_12,17,cosine_error,0.0012647724042744724,0.003187814275713241,neither_zero,True
single_baseline_06,dual_baseline_12,17,log_norm_ratio,2.6163941825261013e-05,0.0001790272257123107,neither_zero,True
single_baseline_06,dual_baseline_12,18,relative_l2,0.046761315911327865,0.05675008870631503,neither_zero,True
single_baseline_06,dual_baseline_12,18,max_abs,0.005492512369528413,0.005600189324468374,neither_zero,True
single_baseline_06,dual_baseline_12,18,normalized_max_abs,1.8309657583798322,1.8668605919637218,neither_zero,True
single_baseline_06,dual_baseline_12,18,cosine_error,0.0010934697366739021,0.0016104724420231697,neither_zero,True
single_baseline_06,dual_baseline_12,18,log_norm_ratio,0.0001570695175184636,0.00017426153486520073,neither_zero,True
single_baseline_06,dual_baseline_12,20,relative_l2,0.0012861347391051857,0.03618305776935488,neither_zero,True
single_baseline_06,dual_baseline_12,20,max_abs,0.0002794272731989622,0.005794270662590861,neither_zero,True
single_baseline_06,dual_baseline_12,20,normalized_max_abs,0.09314277057388466,1.9314304327498888,neither_zero,True
single_baseline_06,dual_baseline_12,20,cosine_error,8.27069266517988e-07,0.0006546084234719807,neither_zero,True
single_baseline_06,dual_baseline_12,20,log_norm_ratio,2.9984544566823296e-06,3.119384705013665e-05,neither_zero,True
single_baseline_06,dual_baseline_12,21,relative_l2,0.021752637732902015,0.050826764560299505,neither_zero,True
single_baseline_06,dual_baseline_12,21,max_abs,0.002935578813776374,0.005037351744249463,neither_zero,True
single_baseline_06,dual_baseline_12,21,normalized_max_abs,0.9786646516205753,1.6793544432923737,neither_zero,True
single_baseline_06,dual_baseline_12,21,cosine_error,0.00023659529630781773,0.0012917344042318035,neither_zero,True
single_baseline_06,dual_baseline_12,21,log_norm_ratio,3.0118021265136914e-05,0.00022368858879896094,neither_zero,True
single_baseline_06,dual_baseline_12,22,relative_l2,0.005818979279066439,0.0577932887500439,neither_zero,True
single_baseline_06,dual_baseline_12,22,max_abs,0.0011200133885722607,0.005380292423069477,neither_zero,True
single_baseline_06,dual_baseline_12,22,normalized_max_abs,0.3734132876303038,1.793792894607881,neither_zero,True
single_baseline_06,dual_baseline_12,22,cosine_error,1.6930365618450516e-05,0.0016701450821178243,neither_zero,True
single_baseline_06,dual_baseline_12,22,log_norm_ratio,2.5605117591199215e-05,0.00012333987278905878,neither_zero,True
single_baseline_06,dual_baseline_12,24,relative_l2,0.0023782166239123383,0.02795966456988454,neither_zero,True
single_baseline_06,dual_baseline_12,24,max_abs,0.0005046575679443777,0.004742427030578256,neither_zero,True
single_baseline_06,dual_baseline_12,24,normalized_max_abs,0.16824521154344876,1.5810536720436101,neither_zero,True
single_baseline_06,dual_baseline_12,24,cosine_error,2.8279542868547836e-06,0.0003909045336550898,neither_zero,True
single_baseline_06,dual_baseline_12,24,log_norm_ratio,6.533357832127115e-06,0.0001037535551461458,neither_zero,True
single_baseline_06,dual_baseline_12,25,relative_l2,0.003701663150334027,0.020624469441589088,neither_zero,True
single_baseline_06,dual_baseline_12,25,max_abs,0.0008730919507797807,0.0037428823998197913,neither_zero,True
single_baseline_06,dual_baseline_12,25,normalized_max_abs,0.2910545692771947,1.2477301994024919,neither_zero,True
single_baseline_06,dual_baseline_12,25,cosine_error,6.8511668004367365e-06,0.00021269104683663276,neither_zero,True
single_baseline_06,dual_baseline_12,25,log_norm_ratio,2.012603805296072e-06,8.241009325611086e-05,neither_zero,True
single_baseline_06,dual_baseline_12,26,relative_l2,7.97643772811796e-05,0.0030323136778769143,neither_zero,True
single_baseline_06,dual_baseline_12,26,max_abs,1.210835762321949e-05,0.0004952069721184671,neither_zero,True
single_baseline_06,dual_baseline_12,26,normalized_max_abs,0.004036693117401365,0.16509247524793977,neither_zero,True
single_baseline_06,dual_baseline_12,26,cosine_error,3.181111929428937e-09,4.597282226015409e-06,neither_zero,True
single_baseline_06,dual_baseline_12,26,log_norm_ratio,3.6198750706605865e-07,2.4824088155444077e-05,neither_zero,True
single_baseline_06,dual_baseline_12,28,relative_l2,0.0,0.0,neither_zero,True
single_baseline_06,dual_baseline_12,28,max_abs,0.0,0.0,neither_zero,True
single_baseline_06,dual_baseline_12,28,normalized_max_abs,0.0,0.0,neither_zero,True
single_baseline_06,dual_baseline_12,28,cosine_error,0.0,0.0,neither_zero,True
single_baseline_06,dual_baseline_12,28,log_norm_ratio,0.0,0.0,neither_zero,True
single_baseline_06,dual_baseline_12,29,relative_l2,0.0,0.0,neither_zero,True
single_baseline_06,dual_baseline_12,29,max_abs,0.0,0.0,neither_zero,True
single_baseline_06,dual_baseline_12,29,normalized_max_abs,0.0,0.0,neither_zero,True
single_baseline_06,dual_baseline_12,29,cosine_error,0.0,0.0,neither_zero,True
single_baseline_06,dual_baseline_12,29,log_norm_ratio,0.0,0.0,neither_zero,True
single_baseline_06,dual_baseline_12,30,relative_l2,0.0,0.0,neither_zero,True
single_baseline_06,dual_baseline_12,30,max_abs,0.0,0.0,neither_zero,True
single_baseline_06,dual_baseline_12,30,normalized_max_abs,0.0,0.0,neither_zero,True
single_baseline_06,dual_baseline_12,30,cosine_error,0.0,0.0,neither_zero,True
single_baseline_06,dual_baseline_12,30,log_norm_ratio,0.0,0.0,neither_zero,True
single_baseline_06,dual_baseline_12,global,relative_l2,0.06614316431102067,0.07576209242758418,neither_zero,True
single_baseline_06,dual_baseline_12,global,max_abs,0.005973746534436941,0.005976773798465729,neither_zero,True
single_baseline_06,dual_baseline_12,global,normalized_max_abs,1.9912562455112026,1.9922651826504838,neither_zero,True
single_baseline_06,dual_baseline_12,global,cosine_error,0.0021875135068294416,0.002869989563512809,neither_zero,True
single_baseline_06,dual_baseline_12,global,log_norm_ratio,2.501832747423021e-05,2.5695636726825657e-05,neither_zero,True
single_baseline_06,dual_baseline_13,0,relative_l2,0.04918521941202464,0.06824693312551014,neither_zero,True
single_baseline_06,dual_baseline_13,0,max_abs,0.005871342262253165,0.0059624831192195415,neither_zero,True
single_baseline_06,dual_baseline_13,0,normalized_max_abs,1.957135183627359,1.9875157967593196,neither_zero,True
single_baseline_06,dual_baseline_13,0,cosine_error,0.0012096051116279316,0.0023289119890768095,neither_zero,True
single_baseline_06,dual_baseline_13,0,log_norm_ratio,1.013449800241237e-05,0.00013442475574679274,neither_zero,True
single_baseline_06,dual_baseline_13,1,relative_l2,0.1091850195288024,0.13775838756793352,neither_zero,True
single_baseline_06,dual_baseline_13,1,max_abs,0.0059009932447224855,0.005959174828603864,neither_zero,True
single_baseline_06,dual_baseline_13,1,normalized_max_abs,1.9670598653653093,1.9864546474587708,neither_zero,True
single_baseline_06,dual_baseline_13,1,cosine_error,0.005961600287475388,0.009490543321821088,neither_zero,True
single_baseline_06,dual_baseline_13,1,log_norm_ratio,0.00015570226984771795,0.000354146493600735,neither_zero,True
single_baseline_06,dual_baseline_13,2,relative_l2,0.04774040812808496,0.09472783252409434,neither_zero,True
single_baseline_06,dual_baseline_13,2,max_abs,0.005921943113207817,0.005975238047540188,neither_zero,True
single_baseline_06,dual_baseline_13,2,normalized_max_abs,1.9740067586959886,1.9917722774521038,neither_zero,True
single_baseline_06,dual_baseline_13,2,cosine_error,0.0011396016870840464,0.004487133243832653,neither_zero,True
single_baseline_06,dual_baseline_13,2,log_norm_ratio,2.520258397703718e-05,0.0001280474477327828,neither_zero,True
single_baseline_06,dual_baseline_13,4,relative_l2,0.11920565200802495,0.13372897703352327,neither_zero,True
single_baseline_06,dual_baseline_13,4,max_abs,0.005960243288427591,0.005976773798465729,neither_zero,True
