condition,phase,problem_id,token,logit_relative_l2,logit_cosine,logit_top1_match,logit_top20_overlap,logit_nonfinite,state_relative_l2,state_max_abs,state_cosine,state_nonfinite
identity,primary,61,7,0.0,1.0,1.0,1.0,0,0.0,0.0,1.000023901462555,0
identity,primary,61,8,0.0,0.9999998807907104,1.0,1.0,0,0.0,0.0,1.0000210404396057,0
identity,primary,61,9,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.0000253319740295,0
identity,primary,61,10,0.0,0.9999999403953552,1.0,1.0,0,0.0,0.0,1.0000236630439758,0
identity,primary,61,11,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.0000246167182922,0
identity,primary,61,12,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000231862068176,0
identity,primary,61,13,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000219941139221,0
identity,primary,61,14,0.0,0.9999999403953552,1.0,1.0,0,0.0,0.0,1.0000230073928833,0
identity,primary,61,15,0.0,1.000000238418579,1.0,1.0,0,0.0,0.0,1.0000244975090027,0
identity,primary,61,16,0.0,1.000000238418579,1.0,1.0,0,0.0,0.0,1.0000277161598206,0
identity,primary,61,17,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000215768814087,0
identity,primary,61,18,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000226497650146,0
identity,primary,61,19,0.0,0.9999999403953552,1.0,1.0,0,0.0,0.0,1.0000253319740295,0
identity,primary,61,20,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000277161598206,0
identity,primary,61,21,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.0000219941139221,0
identity,primary,61,22,0.0,0.9999999403953552,1.0,1.0,0,0.0,0.0,1.0000229477882385,0
identity,primary,61,23,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000234246253967,0
identity,primary,61,24,0.0,0.9999999403953552,1.0,1.0,0,0.0,0.0,1.0000274777412415,0
identity,primary,61,25,0.0,0.9999998807907104,1.0,1.0,0,0.0,0.0,1.0000308156013489,0
identity,primary,61,26,0.0,0.9999999403953552,1.0,1.0,0,0.0,0.0,1.0000234246253967,0
identity,primary,61,27,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000235438346863,0
identity,primary,61,28,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000230073928833,0
identity,primary,61,29,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000213980674744,0
identity,primary,61,30,0.0,0.9999998807907104,1.0,1.0,0,0.0,0.0,1.0000199675559998,0
identity,primary,61,31,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000208616256714,0
identity,primary,61,32,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000208616256714,0
identity,primary,61,33,0.0,0.9999999403953552,1.0,1.0,0,0.0,0.0,1.0000280141830444,0
identity,primary,61,34,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000327229499817,0
identity,primary,61,35,0.0,0.9999999403953552,1.0,1.0,0,0.0,0.0,1.000023901462555,0
identity,primary,61,36,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000216960906982,0
identity,primary,61,37,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000207424163818,0
identity,primary,61,38,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.0000208616256714,0
identity,primary,61,39,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.000023066997528,0
identity,primary,61,40,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000240206718445,0
identity,primary,61,41,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000211000442505,0
identity,primary,61,42,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.0000237822532654,0
identity,primary,61,43,0.0,0.9999999403953552,1.0,1.0,0,0.0,0.0,1.0000271797180176,0
identity,primary,61,44,0.0,1.0,1.0,1.0,0,0.0,0.0,1.000028908252716,0
identity,primary,61,45,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000259280204773,0
identity,primary,61,46,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000233054161072,0
identity,primary,61,47,0.0,0.9999998807907104,1.0,1.0,0,0.0,0.0,1.0000231266021729,0
identity,primary,61,48,0.0,0.9999999403953552,1.0,1.0,0,0.0,0.0,1.0000226497650146,0
identity,primary,61,49,0.0,0.9999998807907104,1.0,1.0,0,0.0,0.0,1.0000243782997131,0
identity,primary,61,50,0.0,1.0,1.0,1.0,0,0.0,0.0,1.000024139881134,0
identity,primary,61,51,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000248551368713,0
identity,primary,61,52,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000227093696594,0
identity,primary,61,53,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.0000208020210266,0
identity,primary,61,54,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000287890434265,0
identity,primary,61,55,0.0,1.0,1.0,1.0,0,0.0,0.0,1.000031292438507,0
identity,primary,61,56,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000253915786743,0
identity,primary,61,57,0.0,1.0,1.0,1.0,0,0.0,0.0,1.000028908252716,0
identity,primary,61,58,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000329613685608,0
identity,primary,61,59,0.0,0.9999999403953552,1.0,1.0,0,0.0,0.0,1.0000330805778503,0
identity,primary,61,60,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.0000326037406921,0
identity,primary,61,61,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000303983688354,0
identity,primary,61,62,0.0,0.9999999403953552,1.0,1.0,0,0.0,0.0,1.0000312328338623,0
identity,primary,61,63,0.0,1.0,1.0,1.0,0,0.0,0.0,1.000026822090149,0
identity,primary,61,64,0.0,0.9999998807907104,1.0,1.0,0,0.0,0.0,1.0000283122062683,0
identity,primary,61,65,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000263452529907,0
identity,primary,61,66,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000231862068176,0
identity,primary,61,67,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000240206718445,0
identity,primary,61,68,0.0,0.9999998807907104,1.0,1.0,0,0.0,0.0,1.0000264048576355,0
identity,primary,61,69,0.0,1.0,1.0,1.0,0,0.0,0.0,1.000022292137146,0
identity,primary,61,70,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000241994857788,0
identity,primary,61,71,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000188946723938,0
identity,primary,61,72,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.0000250339508057,0
identity,primary,61,73,0.0,0.9999998807907104,1.0,1.0,0,0.0,0.0,1.0000272989273071,0
identity,primary,61,74,0.0,0.9999999403953552,1.0,1.0,0,0.0,0.0,1.0000274181365967,0
identity,primary,61,75,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.0000240206718445,0
identity,primary,61,76,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.0000247955322266,0
identity,primary,61,77,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000298619270325,0
identity,primary,61,78,0.0,0.9999999403953552,1.0,1.0,0,0.0,0.0,1.000029742717743,0
identity,primary,61,79,0.0,0.9999998807907104,1.0,1.0,0,0.0,0.0,1.000027060508728,0
identity,primary,61,80,0.0,0.9999998807907104,1.0,1.0,0,0.0,0.0,1.000027358531952,0
identity,primary,61,81,0.0,0.9999999403953552,1.0,1.0,0,0.0,0.0,1.0000274181365967,0
identity,primary,61,82,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.0000239610671997,0
identity,primary,61,83,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000237226486206,0
identity,primary,61,84,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.0000215768814087,0
identity,primary,61,85,0.0,1.0,1.0,1.0,0,0.0,0.0,1.000020682811737,0
